Players,1st Serve,1st Serve Points Won,2nd Serve Ponints Won,Break Points Saved,Service Games Won,Total Service Points Won,1st Service Retuens Points Won,2nd Serve Retuen Points Won,Break Points Converted,Retuen Games Won,Retuen Points Won,Total Points Won
Alejandro Davidovich Fokina,0.66,0.67,0.53,0.62,0.77,0.62,0.31,0.53,0.45,0.26,0.39,0.51
Alexander Bublik,0.59,0.79,0.46,0.61,0.82,0.65,0.25,0.47,0.41,0.16,0.34,0.5
Alexander Zverev,0.71,0.74,0.5,0.64,0.85,0.67,0.29,0.52,0.37,0.23,0.38,0.52
Andrey Rublev,0.61,0.75,0.51,0.63,0.84,0.66,0.3,0.52,0.39,0.24,0.38,0.52
Carlos Alcaraz,0.66,0.72,0.56,0.65,0.85,0.67,0.35,0.54,0.4,0.32,0.42,0.54
Christopher Eubanks,0.69,0.74,0.52,0.65,0.86,0.67,0.22,0.46,0.35,0.12,0.31,0.5
Christopher O'Connell,0.62,0.73,0.49,0.62,0.8,0.64,0.27,0.46,0.34,0.17,0.34,0.49
Daniel Elahi Galan,0.63,0.69,0.47,0.6,0.74,0.61,0.28,0.48,0.35,0.18,0.36,0.49
Daniil Medvedev,0.64,0.75,0.5,0.67,0.85,0.66,0.34,0.54,0.46,0.31,0.41,0.54
David Goffin,0.59,0.69,0.5,0.59,0.73,0.61,0.3,0.52,0.43,0.27,0.39,0.5
Denis Shapovalov,0.56,0.75,0.5,0.6,0.8,0.64,0.29,0.48,0.41,0.21,0.36,0.5
Frances Tiafoe,0.6,0.77,0.53,0.66,0.86,0.67,0.27,0.51,0.38,0.22,0.37,0.52
Grigor Dimitrov,0.61,0.77,0.51,0.63,0.84,0.67,0.3,0.51,0.41,0.24,0.38,0.52
Guido Pella,0.69,0.67,0.53,0.62,0.77,0.62,0.25,0.5,0.38,0.17,0.35,0.49
Holger Rune,0.62,0.72,0.53,0.64,0.83,0.65,0.29,0.49,0.39,0.21,0.37,0.51
Hubert Hurkacz,0.64,0.8,0.51,0.64,0.88,0.69,0.27,0.46,0.35,0.16,0.34,0.51
Jannik Sinner,0.6,0.76,0.57,0.69,0.87,0.68,0.33,0.54,0.42,0.29,0.41,0.54
Jiri Lehecka,0.65,0.72,0.51,0.63,0.81,0.65,0.28,0.47,0.38,0.19,0.35,0.5
Laslo Djere,0.61,0.72,0.52,0.65,0.81,0.64,0.27,0.5,0.38,0.2,0.36,0.5
Liam Broady,0.55,0.69,0.49,0.52,0.7,0.6,0.34,0.52,0.42,0.28,0.41,0.5
Lorenzo Musetti,0.62,0.71,0.51,0.58,0.79,0.63,0.32,0.51,0.43,0.26,0.39,0.51
Marton Fucsovics,0.59,0.71,0.51,0.6,0.79,0.63,0.3,0.5,0.42,0.22,0.38,0.5
Matteo Berrettini,0.65,0.79,0.51,0.7,0.9,0.69,0.26,0.46,0.35,0.14,0.33,0.51
Maximilian Marterer,0.66,0.74,0.54,0.61,0.84,0.67,0.22,0.5,0.36,0.15,0.32,0.5
Mikael Ymer,0.69,0.63,0.49,0.56,0.71,0.59,0.32,0.47,0.38,0.23,0.38,0.48
Nicolas Jarry,0.65,0.77,0.54,0.68,0.88,0.69,0.28,0.48,0.38,0.17,0.35,0.52
Novak Djokovic,0.64,0.76,0.58,0.67,0.88,0.7,0.33,0.54,0.42,0.29,0.41,0.55
Quentin Halys,0.59,0.8,0.52,0.67,0.88,0.68,0.25,0.45,0.38,0.15,0.32,0.6
Roman Safiullin,0.64,0.73,0.52,0.62,0.81,0.65,0.29,0.5,0.44,0.22,0.37,0.51
Stan Wawrinka,0.56,0.76,0.54,0.64,0.83,0.66,0.27,0.47,0.39,0.2,0.35,0.51
Stefanos Tsitsipas,0.64,0.78,0.55,0.66,0.89,0.7,0.27,0.49,0.39,0.2,0.35,0.52
Tommy Paul,0.62,0.72,0.53,0.62,0.81,0.65,0.3,0.51,0.37,0.24,0.38,0.51
